Year,Month,Day,Time,TempF
2023,1,3,7:55,46.49
2023,1,3,7:35,46.49
2023,1,3,7:15,46.49
2023,1,3,6:55,46.49
2023,1,3,6:35,46.49
2023,1,3,6:15,46.49
2023,1,3,5:55,46.49
2023,1,3,5:35,46.49
2023,1,3,5:15,46.49
2023,1,3,4:55,46.49
2023,1,3,4:35,46.49
2023,1,3,4:15,47.6
2023,1,3,3:55,47.6
2023,1,3,3:35,47.6
2023,1,3,3:15,47.6
2023,1,3,2:55,47.6
2023,1,3,2:35,47.6
2023,1,3,2:15,47.6
2023,1,3,1:55,47.6
2023,1,3,1:35,47.6
2023,1,3,1:15,48.71
2023,1,3,0:55,48.71
2023,1,3,0:35,48.71
2023,1,3,0:15,48.71
2023,1,2,23:55,48.71
2023,1,2,23:35,48.71
2023,1,2,23:15,48.71
2023,1,2,22:55,48.71
2023,1,2,22:35,48.71
2023,1,2,22:15,48.71
2023,1,2,21:55,48.71
2023,1,2,21:35,48.71
2023,1,2,21:15,48.71
2023,1,2,20:55,48.71
2023,1,2,20:35,49.82
2023,1,2,20:15,49.82
2023,1,2,19:55,49.82
2023,1,2,19:35,49.82
2023,1,2,19:15,49.82
2023,1,2,18:55,49.82
2023,1,2,18:35,49.82
2023,1,2,18:15,49.82
2023,1,2,17:55,49.82
2023,1,2,17:35,49.82
2023,1,2,17:15,50.38
2023,1,2,16:55,50.38
2023,1,2,16:35,50.38
2023,1,2,16:15,50.38
2023,1,2,15:55,50.38
2023,1,2,15:35,50.38
2023,1,2,15:15,50.38
2023,1,2,14:55,50.38
2023,1,2,14:35,50.38
2023,1,2,14:15,49.82
2023,1,2,13:55,49.82
2023,1,2,13:35,50.38
2023,1,2,13:15,50.38
2023,1,2,12:55,50.38
2023,1,2,12:35,49.82
2023,1,2,12:15,49.82
2023,1,2,11:55,49.82
2023,1,2,11:35,49.82
2023,1,2,11:15,49.82
2023,1,2,10:55,49.82
2023,1,2,10:35,49.82
2023,1,2,10:15,49.82
2023,1,2,9:55,49.82
2023,1,2,9:35,49.82
2023,1,2,9:15,49.82
2023,1,2,8:55,49.82
2023,1,2,8:35,49.82
2023,1,2,8:15,49.82
2023,1,2,7:55,50.38
2023,1,2,7:35,50.38
2023,1,2,7:15,50.38
2023,1,2,6:55,50.38
2023,1,2,6:35,50.38
2023,1,2,6:15,50.38
2023,1,2,5:55,51.49
2023,1,2,5:35,51.49
2023,1,2,5:15,51.49
2023,1,2,4:55,51.49
2023,1,2,4:35,51.49
2023,1,2,4:15,51.49
2023,1,2,3:55,51.49
2023,1,2,3:35,51.49
2023,1,2,3:15,51.49
2023,1,2,2:55,51.49
2023,1,2,2:35,51.49
2023,1,2,2:15,51.49
2023,1,2,1:55,51.49
2023,1,2,1:35,51.49
2023,1,2,1:15,51.49
2023,1,2,0:55,51.49
2023,1,2,0:35,52.6
2023,1,2,0:15,52.6
2023,1,1,23:55,52.6
2023,1,1,23:35,52.6
2023,1,1,23:15,52.6
2023,1,1,22:55,52.6
2023,1,1,22:35,52.6
2023,1,1,22:15,52.6
2023,1,1,21:55,52.6
2023,1,1,21:35,52.6
2023,1,1,21:15,53.71
2023,1,1,20:55,53.71
2023,1,1,20:35,53.71
2023,1,1,20:15,53.71
2023,1,1,19:55,53.71
2023,1,1,19:35,53.71
2023,1,1,19:15,53.71
2023,1,1,18:55,53.71
2023,1,1,18:35,53.71
2023,1,1,18:15,53.71
2023,1,1,17:55,53.71
2023,1,1,17:35,53.71
2023,1,1,17:15,54.82
2023,1,1,16:55,54.82
2023,1,1,16:35,54.82
2023,1,1,16:15,54.82
2023,1,1,15:55,54.82
2023,1,1,15:35,54.82
2023,1,1,15:15,54.82
2023,1,1,14:55,54.82
2023,1,1,14:35,54.82
2023,1,1,14:15,54.82
2023,1,1,13:55,54.82
2023,1,1,13:35,54.82
2023,1,1,13:15,54.82
2023,1,1,12:55,54.82
2023,1,1,12:35,54.82
2023,1,1,12:15,54.82
2023,1,1,11:55,54.82
2023,1,1,11:35,54.82
2023,1,1,11:15,54.82
2023,1,1,10:55,54.82
2023,1,1,10:35,54.82
2023,1,1,10:15,54.82
2023,1,1,9:55,55.38
2023,1,1,9:35,55.38
2023,1,1,9:15,55.38
2023,1,1,8:55,55.38
2023,1,1,8:35,55.38
2023,1,1,8:15,55.38
2023,1,1,7:55,55.38
2023,1,1,7:35,55.38
2023,1,1,7:15,55.38
2023,1,1,6:55,55.38
2023,1,1,6:35,55.38
2023,1,1,6:15,55.38
2023,1,1,5:55,55.38
2023,1,1,5:35,55.38
2023,1,1,5:15,55.38
2023,1,1,4:55,55.38
2023,1,1,4:35,55.38
2023,1,1,4:15,55.38
2023,1,1,3:55,55.38
2023,1,1,3:35,55.38
2023,1,1,3:15,55.38
2023,1,1,2:55,55.38
2023,1,1,2:35,55.38
2023,1,1,2:15,54.82
2023,1,1,1:55,54.82
2023,1,1,1:35,54.82
2023,1,1,1:15,54.82
2023,1,1,0:55,54.82
2023,1,1,0:35,54.82
2023,1,1,0:15,54.82
